Xenacoelomorpha	6
Annelida	9
Arthropoda	143
Chordata	1
Cnidaria	7
Ctenophora	1
Rhombozoa	1
Mollusca	10
Nematoda	18
Nematomorpha	1
Nemertea	1
Orthonectida	1
Platyhelminthes	13
Rotifera	9
Tardigrada	2
