_key	name	interactionTypeName	referenceCitation
361757	Pipunculidae	parasiteOf	weinstein2016
113807	Conopidae	parasiteOf	weinstein2016
5942332	Pherbellia sp. TAW06	parasiteOf	weinstein2016
6263718	Sciomyza sp. BOLD-2016	parasiteOf	weinstein2016
1095417	Colobaea bifasciella	parasiteOf	weinstein2016
757054	Pelidnoptera nigripennis	parasiteOf	weinstein2016
184533	Rhinophoridae	parasiteOf	weinstein2016
430304	Pyrgotidae	parasiteOf	weinstein2016
814229	Ctenostylidae	parasiteOf	weinstein2016
741010	Hippoboscidae	parasiteOf	weinstein2016
334384	Oestridae	parasiteOf	weinstein2016
672497	Tachinidae	parasiteOf	weinstein2016
4362056	Acridomyia	parasiteOf	weinstein2016
4362052	Acyglossa	parasiteOf	weinstein2016
4362038	Tettigoniomyia	parasiteOf	weinstein2016
699808	Lucilia bufonivora	parasiteOf	weinstein2016
608695	Pollenia rudis	parasiteOf	weinstein2016
753419	Auchmeromyia	parasiteOf	weinstein2016
335146	Cordylobia	parasiteOf	weinstein2016
5943584	Protocalliphora sp. BOLD:ACA4554	parasiteOf	weinstein2016
4475352	Symbiocladius	parasiteOf	weinstein2016
4474771	Dactylocladius spitzbergenis	parasiteOf	weinstein2016
4474442	Baeoctenus bicolor	parasiteOf	weinstein2016
5831561	Cryptochironomus sp. BOLD:AAI6006	parasiteOf	weinstein2016
941614	Parachironomus	parasiteOf	weinstein2016
4340139	Neoplasta brevicornis	parasiteOf	weinstein2016
4364248	Passeromyia indecora	parasiteOf	weinstein2016
4349331	Aenigmatias	parasiteOf	weinstein2016
4349268	Syneura	parasiteOf	weinstein2016
639539	Melaloncha	parasiteOf	weinstein2016
386696	Cremersia	parasiteOf	weinstein2016
4349507	Dacnophora	parasiteOf	weinstein2016
4349913	Diocophora	parasiteOf	weinstein2016
4349936	Myrmosicarius	parasiteOf	weinstein2016
280453	Phalacrotophora	parasiteOf	weinstein2016
293294	Apocephalus	parasiteOf	weinstein2016
4958523	Pseudacteon	parasiteOf	weinstein2016
486865	Borophaga	parasiteOf	weinstein2016
4348244	Diplonevra pilosella	parasiteOf	weinstein2016
3235788	Dirhinosia nitidula	parasiteOf	weinstein2016
921915	Dohrniphora spinulicava	parasiteOf	weinstein2016
5942683	Neottiophilinae	parasiteOf	weinstein2016
991478	Senotainia sp. JOS-2001	parasiteOf	weinstein2016
5943615	Macronychia sp. BOLD:ACG7557	parasiteOf	weinstein2016
4373061	Blaesoxiphella brevicornis	parasiteOf	weinstein2016
5943671	Blaesoxipha sp. BOLD:ACB4746	parasiteOf	weinstein2016
4373899	Cistudinomyia cistudinis	parasiteOf	weinstein2016
4372377	Lepidodexia bufonivora	parasiteOf	weinstein2016
5670289	Neodermata	parasiteOf	weinstein2016
564485	Prosthiostomum	parasiteOf	weinstein2016
398309	Amakusaplana	parasiteOf	weinstein2016
3660971	Micropharynx	parasiteOf	weinstein2016
3664790	Fecampia	parasiteOf	weinstein2016
93087	Urastomidae	parasiteOf	weinstein2016
5131600	Genostomatidae	parasiteOf	weinstein2016
3664672	Oekiocolax	parasiteOf	weinstein2016
960811	Pterastericolidae	parasiteOf	weinstein2016
960810	Umagillidae	parasiteOf	weinstein2016
49622	Acanthocephala	parasiteOf	weinstein2016
2940641	Cephalodella parasitica	parasiteOf	weinstein2016
2940780	Drilophaga bucephalus	parasiteOf	weinstein2016
2941620	Encentrum kozminskii	parasiteOf	weinstein2016
2942336	Clariaidae	parasiteOf	weinstein2016
424578	Unionoida	parasiteOf	weinstein2016
800962	Pleurotomariidae	parasiteOf	weinstein2016
867164	Triviidae	parasiteOf	weinstein2016
710382	Lamellariidae	parasiteOf	weinstein2016
342479	Ovulidae	parasiteOf	weinstein2016
5704665	Pediculariinae	parasiteOf	weinstein2016
371471	Eulimidae	parasiteOf	weinstein2016
947611	Epitoniidae	parasiteOf	weinstein2016
404383	Pyramidellidae	parasiteOf	weinstein2016
320060	Architectonicidae	parasiteOf	weinstein2016
4153193	Nemertoscolex parasiticus	parasiteOf	weinstein2016
4980099	Alciopina parasitica	parasiteOf	weinstein2016
67118	Oenonidae	parasiteOf	weinstein2016
4983209	Calamyzas amphictenicola	parasiteOf	weinstein2016
4979577	Veneriserva pygoclava	parasiteOf	weinstein2016
4980034	Ichthyotomus	parasiteOf	weinstein2016
938748	Branchiosyllis sp. AAN-2002	parasiteOf	weinstein2016
260040	Myzostomida	parasiteOf	weinstein2016
691845	Orthonectida	parasiteOf	weinstein2016
100728	Dicyemida	parasiteOf	weinstein2016
