Echeliophis spp. //spelling unaccepted
Trichocephalia
Hugodiplogaster neozelandia
Strongyloidiodea
Iotonshiidae
Amheterozeron
Lawrencarinae
Speleognathinae
Parasitengonina
Pterygosomatidea
Chelonotini
Teinocheylini
Cheyletiellini
Ornithocheyletiini
Metacheyletiini
Niheliini
Criokerontini
//Epimyodicidae not in OTT
Pyemetoidea
Vesparcarus
Poecilostomatoidea
Archinotodephyidae
Acetabulostoma spp.
Teredinae
Xylariophilinae
Anommatinae
Aprocrita
Anopleura
Rhynchophthirina
Sthenauge parasitus
//Pseudanaphis plant
Cryptochaetidae
Tachiniscidae
Ameniinae
Eginiinae
Acanthophoroides
Megasalia sp.
L. blackae
//Emblemasomini not in OTT
//Planivora insignis not in OTT
Grafilla
Cephalophyge trematoides
Coralliophilinae
//Parasitosyllis sp. ancient, not in OTT
